Date,Close,Adj Close
2009-05-04,14.93,7.465
2009-05-05,15.0,7.5
2009-05-06,15.17,7.585
2009-05-07,14.35,7.175
2009-05-08,14.8,7.4
2009-05-11,13.72,6.86
2009-05-12,12.57,6.285
2009-05-13,11.78,5.89
2009-05-14,12.47,6.235
2009-05-15,12.15,6.075
2009-05-18,12.89,6.445
2009-05-19,12.84,6.42
2009-05-20,12.03,6.015
2009-05-21,11.38,5.69
2009-05-22,11.3,5.65
2009-05-26,12.0,6.0
2009-05-27,12.28,6.14
2009-05-28,11.99,5.995
2009-05-29,12.63,6.315
2009-06-01,14.42,7.21
2009-06-02,14.06,7.03
2009-06-03,13.4,6.7
2009-06-04,14.08,7.04
2009-06-05,13.97,6.985
2009-06-08,13.77,6.885
2009-06-09,14.48,7.24
2009-06-10,15.22,7.61
2009-06-11,13.34,6.67
2009-06-12,14.23,7.115
2009-06-15,13.83,6.915
2009-06-16,12.99,6.495
2009-06-17,13.14,6.57
2009-06-18,13.23,6.615
2009-06-19,13.42,6.71
2009-06-22,12.67,6.335
2009-06-23,12.19,6.095
2009-06-24,12.36,6.18
2009-06-25,12.75,6.375
2009-06-26,13.41,6.705
2009-06-29,13.23,6.615
2009-06-30,13.03,6.515
2009-07-01,13.07,6.535
2009-07-02,12.26,6.13
2009-07-06,12.15,6.075
2009-07-07,11.95,5.975
2009-07-08,11.67,5.835
2009-07-09,11.6,5.8
2009-07-10,11.82,5.91
2009-07-13,12.59,6.295
2009-07-14,12.87,6.435
2009-07-15,13.57,6.785
2009-07-16,14.49,7.245
2009-07-17,14.36,7.18
2009-07-20,15.06,7.53
2009-07-21,14.79,7.395
2009-07-22,16.360001,8.18
2009-07-23,16.879999,8.44
2009-07-24,17.1,8.55
2009-07-27,17.49,8.745
2009-07-28,17.110001,8.555
2009-07-29,17.030001,8.515
2009-07-30,17.190001,8.595
2009-07-31,17.719999,8.86
2009-08-03,18.700001,9.35
2009-08-04,19.440001,9.72
2009-08-05,18.77,9.385
2009-08-06,18.57,9.285
2009-08-07,19.68,9.84
2009-08-10,19.73,9.865
2009-08-11,19.75,9.875
2009-08-12,20.65,10.325
2009-08-13,20.459999,10.23
2009-08-14,20.02,10.01
2009-08-17,18.73,9.365
2009-08-18,18.690001,9.345
2009-08-19,18.9,9.45
2009-08-20,19.42,9.71
2009-08-21,19.85,9.925
2009-08-24,19.66,9.83
2009-08-25,20.059999,10.03
2009-08-26,20.0,10.0
2009-08-27,20.07,10.035
2009-08-28,20.030001,10.015
2009-08-31,20.059999,10.03
2009-09-01,19.620001,9.81
2009-09-02,19.16,9.58
2009-09-03,19.790001,9.895
2009-09-04,19.969999,9.985
2009-09-08,20.92,10.46
2009-09-09,21.610001,10.805
2009-09-10,21.76,10.88
2009-09-11,23.129999,11.565
2009-09-14,23.5,11.75
2009-09-15,23.92,11.96
2009-09-16,24.5,12.25
2009-09-17,24.17,12.085
2009-09-18,24.440001,12.22
2009-09-21,24.120001,12.06
2009-09-22,24.0,12.0
2009-09-23,23.540001,11.77
2009-09-24,22.57,11.285
2009-09-25,21.93,10.965
2009-09-28,23.540001,11.77
2009-09-29,23.18,11.59
2009-09-30,22.75,11.375
2009-10-01,21.360001,10.68
2009-10-02,21.629999,10.815
2009-10-05,22.610001,11.305
2009-10-06,23.42,11.71
2009-10-07,23.700001,11.85
2009-10-08,24.35,12.175
2009-10-09,24.33,12.165
2009-10-12,24.75,12.375
2009-10-13,24.790001,12.395
2009-10-14,25.549999,12.775
2009-10-15,26.02,13.01
2009-10-16,25.530001,12.765
2009-10-19,25.620001,12.81
2009-10-20,25.540001,12.77
2009-10-21,25.09,12.545
2009-10-22,25.719999,12.86
2009-10-23,25.33,12.665
