symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
F,2012-06-30,False,Q2,2012,10-Q,31328000000.0,,1040000000.0,0.27,0.26,0.0,1.81236e+11,41506000000.0,35102000000.0,15101000000.0,17079000000.0,5979000000.0,-7549000000.0,-347000000.0
F,2012-09-30,False,Q3,2012,10-Q,30247000000.0,,1631000000.0,0.43,0.41,0.05,1.8468e+11,43118000000.0,36058000000.0,13539000000.0,18886000000.0,9406000000.0,-12623000000.0,-382000000.0
F,2012-12-31,False,FY,2012,10-K,1.26567e+11,,5665000000.0,1.48,1.42,0.15,1.90554e+11,43175000000.0,35228000000.0,15659000000.0,15989000000.0,9045000000.0,-14290000000.0,3705000000.0
F,2013-03-31,False,Q1,2013,10-Q,33858000000.0,,1611000000.0,0.41,0.4,0.1,1.9301e+11,44905000000.0,35237000000.0,13820000000.0,17638000000.0,211000000.0,-3851000000.0,1967000000.0
F,2013-06-30,False,Q2,2013,10-Q,36079000000.0,,1233000000.0,0.31,0.3,0.1,1.9621e+11,46356000000.0,37000000000.0,13362000000.0,19222000000.0,6289000000.0,-11063000000.0,2675000000.0
F,2013-09-30,False,Q3,2013,10-Q,33857000000.0,,1272000000.0,0.32,0.31,0.1,2.01071e+11,46962000000.0,38107000000.0,14752000000.0,20510000000.0,10129000000.0,-15320000000.0,4342000000.0
F,2013-12-31,False,FY,2013,10-K,1.39369e+11,,7155000000.0,1.82,1.76,0.4,2.02026e+11,42457000000.0,37003000000.0,14468000000.0,26416000000.0,10444000000.0,-19731000000.0,8133000000.0
F,2014-03-31,False,Q1,2014,10-Q,33876000000.0,,989000000.0,0.25,0.24,0.125,2.07082e+11,43900000000.0,39779000000.0,12983000000.0,26807000000.0,2220000000.0,-5662000000.0,1988000000.0
F,2014-06-30,False,Q2,2014,10-Q,35365000000.0,,1311000000.0,0.33,0.32,0.125,2.10945e+11,45997000000.0,42724000000.0,11573000000.0,26807000000.0,6970000000.0,-11685000000.0,1802000000.0
F,2014-09-30,False,Q3,2014,10-Q,32779000000.0,,835000000.0,0.22,0.21,0.125,2.08835e+11,42679000000.0,41639000000.0,13320000000.0,26165000000.0,12339000000.0,-15594000000.0,2413000000.0
F,2014-12-31,False,FY,2014,10-K,1.35782e+11,,3187000000.0,0.81,0.8,0.5,2.08527e+11,40442000000.0,40108000000.0,10757000000.0,24832000000.0,14507000000.0,-21124000000.0,3423000000.0
F,2015-03-31,False,Q1,2015,10-Q,31800000000.0,,924000000.0,0.23,0.23,0.15,2.12374e+11,40732000000.0,40506000000.0,12368000000.0,24974000000.0,2413000000.0,-4960000000.0,4584000000.0
F,2015-06-30,False,Q2,2015,10-Q,35105000000.0,,1885000000.0,0.47,0.47,0.15,2.16045e+11,42876000000.0,41785000000.0,12897000000.0,26355000000.0,7623000000.0,-8950000000.0,3741000000.0
F,2015-09-30,False,Q3,2015,10-Q,35818000000.0,,1909000000.0,0.48,0.48,0.15,2.19431e+11,44370000000.0,41012000000.0,14686000000.0,27484000000.0,14078000000.0,-16664000000.0,7137000000.0
F,2015-12-31,False,FY,2015,10-K,1.40566e+11,,7373000000.0,1.86,1.84,0.6,2.24925e+11,42574000000.0,39646000000.0,14272000000.0,28657000000.0,16170000000.0,-26162000000.0,14322000000.0
